call_id,caller_id,receiver_id,timestamp,duration_seconds,communication_type,cell_location,data_source,synthetic_data
SYN-CDR-00718,P010,P009,2026-01-04 06:11:00,1073,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00485,P004,P011,2026-01-04 10:50:00,523,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00096,P003,P007,2026-01-04 13:32:00,393,SMS,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00453,P010,P013,2026-01-05 12:02:00,875,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00962,P005,P001,2026-01-05 13:13:00,1431,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00567,P002,P001,2026-01-05 19:17:00,1167,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00042,P009,P007,2026-01-06 07:15:00,683,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00037,P003,P005,2026-01-06 15:14:00,1180,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00737,P005,P001,2026-01-07 09:32:00,1628,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00381,P008,P012,2026-01-07 12:20:00,1275,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00005,P003,P004,2026-01-07 13:25:00,1792,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00452,P008,P012,2026-01-07 20:14:00,492,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00655,P003,P007,2026-01-08 01:08:00,634,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00783,P013,P012,2026-01-08 03:49:00,1044,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00193,P003,P004,2026-01-08 07:06:00,1091,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00402,P004,P011,2026-01-08 11:06:00,1723,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00433,P009,P002,2026-01-08 11:33:00,581,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00755,P014,P015,2026-01-08 15:18:00,697,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00076,P006,P009,2026-01-08 19:59:00,604,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00689,P010,P013,2026-01-08 23:23:00,1495,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00109,P003,P008,2026-01-09 11:45:00,786,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00903,P011,P015,2026-01-09 17:31:00,712,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00818,P009,P006,2026-01-09 23:05:00,408,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00821,P015,P010,2026-01-10 04:41:00,1154,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00486,P007,P006,2026-01-10 04:47:00,1623,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00455,P014,P015,2026-01-10 05:00:00,1304,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00907,P008,P009,2026-01-10 12:11:00,1130,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00817,P012,P014,2026-01-10 14:57:00,458,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00245,P015,P010,2026-01-10 17:16:00,1021,SMS,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00815,P008,P012,2026-01-11 05:06:00,356,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00974,P005,P010,2026-01-11 09:16:00,1459,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00274,P008,P012,2026-01-12 03:18:00,1734,SMS,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00222,P005,P001,2026-01-12 11:23:00,628,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00212,P014,P011,2026-01-12 13:13:00,1335,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00964,P005,P001,2026-01-12 20:07:00,1204,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00313,P002,P004,2026-01-13 03:20:00,142,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00021,P003,P007,2026-01-13 18:39:00,451,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00471,P004,P011,2026-01-14 07:00:00,801,SMS,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00888,P010,P008,2026-01-14 09:08:00,71,SMS,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00379,P015,P011,2026-01-14 14:41:00,1587,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00832,P004,P001,2026-01-15 01:29:00,1508,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00854,P014,P011,2026-01-15 04:55:00,852,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00711,P014,P012,2026-01-15 07:02:00,930,SMS,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00697,P007,P006,2026-01-15 14:37:00,472,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00295,P004,P011,2026-01-15 17:59:00,1188,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00260,P008,P009,2026-01-15 21:07:00,602,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00514,P011,P012,2026-01-15 22:16:00,639,SMS,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00125,P003,P007,2026-01-16 01:11:00,411,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00889,P004,P011,2026-01-16 03:34:00,315,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00652,P005,P010,2026-01-16 05:24:00,982,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00192,P005,P010,2026-01-16 08:56:00,1576,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00273,P014,P013,2026-01-16 17:22:00,1377,SMS,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00520,P012,P015,2026-01-16 17:24:00,730,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00867,P008,P006,2026-01-16 18:13:00,542,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00083,P008,P012,2026-01-16 18:31:00,262,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00430,P009,P007,2026-01-16 23:21:00,58,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00557,P003,P005,2026-01-17 00:21:00,1074,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00778,P001,P002,2026-01-17 01:17:00,121,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00009,P007,P014,2026-01-17 04:37:00,1487,SMS,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00538,P007,P010,2026-01-17 05:20:00,1720,SMS,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00828,P015,P012,2026-01-17 16:13:00,223,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00137,P001,P012,2026-01-17 23:54:00,183,SMS,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00707,P014,P015,2026-01-18 01:37:00,997,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00082,P004,P002,2026-01-18 03:01:00,814,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00117,P003,P005,2026-01-18 03:38:00,1332,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00970,P014,P015,2026-01-18 08:24:00,1245,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00583,P010,P013,2026-01-18 14:06:00,784,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00174,P008,P012,2026-01-18 20:36:00,29,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00308,P006,P002,2026-01-19 02:44:00,607,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00691,P010,P006,2026-01-20 02:07:00,197,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00647,P003,P005,2026-01-20 17:52:00,320,SMS,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00919,P010,P013,2026-01-21 08:36:00,55,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00417,P012,P013,2026-01-21 15:18:00,1185,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00636,P015,P011,2026-01-21 21:29:00,650,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00836,P008,P012,2026-01-22 09:01:00,1033,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00792,P008,P007,2026-01-22 23:29:00,1596,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00075,P013,P003,2026-01-23 00:41:00,1176,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00900,P013,P011,2026-01-23 16:58:00,95,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00359,P001,P004,2026-01-23 21:12:00,345,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00796,P010,P013,2026-01-23 23:44:00,274,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00940,P004,P011,2026-01-24 00:26:00,1075,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00927,P006,P013,2026-01-24 04:17:00,1240,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00385,P012,P013,2026-01-24 08:12:00,597,SMS,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00617,P005,P010,2026-01-24 08:15:00,733,SMS,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00177,P012,P014,2026-01-24 12:10:00,182,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00185,P008,P012,2026-01-24 12:27:00,995,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00370,P004,P011,2026-01-24 12:46:00,943,SMS,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00760,P013,P012,2026-01-24 20:31:00,722,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00658,P002,P004,2026-01-25 00:05:00,690,SMS,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00228,P015,P012,2026-01-25 01:57:00,270,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00132,P007,P010,2026-01-25 01:58:00,996,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00983,P001,P002,2026-01-25 23:22:00,1004,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00022,P008,P012,2026-01-26 06:00:00,1045,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00984,P003,P005,2026-01-26 11:17:00,904,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00213,P009,P010,2026-01-26 13:07:00,466,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00942,P008,P012,2026-01-26 19:06:00,1478,SMS,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00840,P003,P001,2026-01-26 20:00:00,392,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00202,P003,P002,2026-01-26 22:25:00,679,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00530,P011,P013,2026-01-27 13:50:00,36,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00066,P003,P007,2026-01-27 15:02:00,1146,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00947,P004,P011,2026-01-27 17:20:00,922,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00344,P001,P009,2026-01-27 17:30:00,1228,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00827,P014,P003,2026-01-27 23:02:00,511,SMS,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00070,P007,P004,2026-01-28 06:55:00,1800,SMS,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00528,P012,P004,2026-01-28 15:06:00,1496,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00742,P004,P011,2026-01-28 21:01:00,1292,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00393,P009,P008,2026-01-28 21:47:00,847,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00634,P002,P003,2026-01-29 00:08:00,510,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00046,P015,P011,2026-01-29 11:15:00,795,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00548,P002,P004,2026-01-29 11:20:00,221,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00710,P010,P008,2026-01-29 16:25:00,713,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00268,P011,P015,2026-01-30 00:53:00,1549,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00419,P003,P007,2026-01-30 07:51:00,1054,SMS,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00723,P002,P015,2026-01-30 10:00:00,1129,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00369,P005,P010,2026-01-30 12:01:00,1741,SMS,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00750,P007,P006,2026-01-30 13:45:00,1689,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00103,P005,P010,2026-01-30 19:37:00,1488,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00930,P005,P010,2026-01-31 04:55:00,1733,SMS,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00154,P010,P013,2026-01-31 08:34:00,32,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00860,P008,P012,2026-01-31 10:22:00,1160,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00534,P003,P007,2026-01-31 14:31:00,176,SMS,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00182,P015,P014,2026-01-31 14:45:00,162,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00803,P004,P011,2026-01-31 17:12:00,1263,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00912,P004,P011,2026-01-31 18:36:00,1747,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00265,P007,P010,2026-01-31 19:10:00,95,SMS,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00990,P001,P004,2026-02-01 05:28:00,490,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00813,P014,P012,2026-02-01 12:15:00,1362,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00262,P004,P011,2026-02-01 13:04:00,972,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00318,P010,P013,2026-02-02 12:06:00,1156,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00240,P015,P014,2026-02-02 15:19:00,375,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00438,P008,P010,2026-02-02 16:16:00,1411,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00695,P005,P002,2026-02-02 16:28:00,1323,SMS,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00267,P001,P002,2026-02-03 01:09:00,401,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00833,P004,P002,2026-02-03 10:35:00,552,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00487,P015,P014,2026-02-03 18:27:00,1060,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00365,P003,P005,2026-02-03 22:27:00,499,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00878,P005,P002,2026-02-04 00:37:00,414,SMS,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00007,P001,P002,2026-02-04 00:59:00,306,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00404,P010,P013,2026-02-04 04:40:00,1559,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00600,P010,P013,2026-02-04 06:57:00,1317,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00010,P009,P006,2026-02-04 14:12:00,267,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00592,P015,P013,2026-02-04 14:59:00,1194,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00028,P015,P011,2026-02-04 17:37:00,449,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00656,P007,P006,2026-02-04 21:44:00,1110,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00015,P004,P013,2026-02-05 00:02:00,503,SMS,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00253,P003,P015,2026-02-05 09:58:00,830,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00719,P014,P011,2026-02-05 11:11:00,96,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00204,P005,P010,2026-02-05 16:58:00,555,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00304,P014,P011,2026-02-06 06:26:00,449,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00846,P006,P007,2026-02-06 13:15:00,588,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00982,P012,P014,2026-02-06 19:52:00,1566,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00886,P008,P012,2026-02-07 06:32:00,760,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00167,P001,P003,2026-02-07 18:23:00,885,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00758,P005,P010,2026-02-08 02:48:00,552,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00041,P003,P007,2026-02-08 14:47:00,1109,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00287,P003,P002,2026-02-08 22:27:00,368,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00542,P005,P002,2026-02-09 00:55:00,196,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00566,P004,P011,2026-02-09 05:24:00,294,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00781,P003,P007,2026-02-09 11:28:00,1326,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00899,P006,P013,2026-02-09 15:23:00,647,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00472,P007,P008,2026-02-10 00:08:00,133,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00623,P008,P012,2026-02-10 06:29:00,1788,SMS,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00353,P008,P006,2026-02-10 11:21:00,1445,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00810,P007,P006,2026-02-10 17:41:00,1569,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00734,P013,P012,2026-02-11 01:48:00,427,SMS,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00550,P008,P007,2026-02-11 05:08:00,1352,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00646,P011,P014,2026-02-11 12:34:00,1051,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00233,P004,P011,2026-02-11 14:53:00,430,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00811,P004,P002,2026-02-11 18:17:00,1079,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00341,P005,P010,2026-02-11 21:21:00,900,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00495,P008,P012,2026-02-11 22:58:00,1648,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00221,P002,P001,2026-02-12 04:23:00,1683,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00555,P010,P007,2026-02-12 08:16:00,54,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00654,P011,P015,2026-02-12 16:57:00,504,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00429,P003,P007,2026-02-13 01:53:00,1593,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00214,P010,P013,2026-02-13 02:28:00,777,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00802,P008,P012,2026-02-13 04:27:00,1025,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00211,P002,P003,2026-02-13 09:00:00,1320,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00263,P014,P012,2026-02-13 11:24:00,944,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00898,P005,P010,2026-02-13 16:32:00,559,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00752,P009,P002,2026-02-13 23:02:00,1517,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00928,P005,P006,2026-02-14 04:59:00,1701,SMS,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00225,P011,P013,2026-02-14 08:47:00,1729,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00303,P010,P014,2026-02-14 09:04:00,1234,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00340,P015,P012,2026-02-14 12:18:00,859,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00324,P011,P013,2026-02-14 13:58:00,1094,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00362,P008,P012,2026-02-14 15:44:00,1726,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00769,P004,P011,2026-02-15 11:10:00,1757,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00523,P010,P006,2026-02-15 14:35:00,549,SMS,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00183,P008,P012,2026-02-15 23:55:00,1495,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
SYN-CDR-00662,P002,P006,2026-02-16 00:43:00,1337,VOICE_CALL,Metro Station,Synthetic Demonstration Dataset,True
SYN-CDR-00181,P013,P011,2026-02-16 01:11:00,1106,VOICE_CALL,Old Warehouse District,Synthetic Demonstration Dataset,True
SYN-CDR-00669,P013,P005,2026-02-16 04:40:00,1515,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00680,P010,P013,2026-02-16 09:52:00,1633,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00546,P004,P011,2026-02-16 14:42:00,1041,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
