record_id,person_id,location_id,location_name,latitude,longitude,timestamp,observation_type,data_source,synthetic_data
SYN-LOC-00642,P013,LOC006,Old Warehouse District,13.11,80.25,2026-01-21 05:30:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00160,P001,LOC005,Market Street,13.07,80.26,2026-01-21 08:25:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00334,P008,LOC004,Harbour Road,13.1,80.3,2026-01-21 13:36:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-B01-1-P003,P003,LOC005,Market Street,13.07,80.26,2026-01-21 14:08:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-B01-1-P007,P007,LOC005,Market Street,13.07,80.26,2026-01-21 14:15:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-00301,P009,LOC002,North Railway Junction,13.095,80.28,2026-01-21 14:28:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00103,P006,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-21 15:59:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00666,P013,LOC006,Old Warehouse District,13.11,80.25,2026-01-22 01:03:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00015,P009,LOC002,North Railway Junction,13.095,80.28,2026-01-22 02:15:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00498,P012,LOC006,Old Warehouse District,13.11,80.25,2026-01-22 11:30:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00632,P002,LOC005,Market Street,13.07,80.26,2026-01-22 15:40:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00114,P005,LOC005,Market Street,13.07,80.26,2026-01-22 15:42:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00740,P010,LOC002,North Railway Junction,13.095,80.28,2026-01-22 21:05:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00121,P006,LOC003,Industrial Estate,13.06,80.24,2026-01-23 06:48:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00460,P003,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-23 11:21:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00358,P014,LOC008,Tech Park Zone,13.04,80.23,2026-01-23 11:31:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00704,P010,LOC004,Harbour Road,13.1,80.3,2026-01-23 22:52:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00292,P006,LOC007,Riverbank Road,13.05,80.275,2026-01-24 23:43:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00203,P006,LOC002,North Railway Junction,13.095,80.28,2026-01-25 04:54:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00010,P014,LOC008,Tech Park Zone,13.04,80.23,2026-01-25 11:47:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00284,P011,LOC003,Industrial Estate,13.06,80.24,2026-01-26 10:23:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00309,P015,LOC008,Tech Park Zone,13.04,80.23,2026-01-26 15:17:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00625,P012,LOC003,Industrial Estate,13.06,80.24,2026-01-27 02:04:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00651,P015,LOC006,Old Warehouse District,13.11,80.25,2026-01-27 04:56:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00444,P014,LOC008,Tech Park Zone,13.04,80.23,2026-01-27 10:28:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00295,P004,LOC005,Market Street,13.07,80.26,2026-01-27 21:41:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00522,P012,LOC004,Harbour Road,13.1,80.3,2026-01-28 10:41:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00544,P014,LOC007,Riverbank Road,13.05,80.275,2026-01-28 15:42:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00462,P001,LOC010,Metro Station,13.075,80.285,2026-01-28 18:55:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00118,P001,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-29 02:54:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00236,P008,LOC004,Harbour Road,13.1,80.3,2026-01-29 02:58:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00048,P010,LOC002,North Railway Junction,13.095,80.28,2026-01-29 03:46:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00480,P015,LOC003,Industrial Estate,13.06,80.24,2026-01-29 05:03:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00319,P002,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-29 22:06:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00136,P008,LOC008,Tech Park Zone,13.04,80.23,2026-01-29 23:50:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00273,P008,LOC005,Market Street,13.07,80.26,2026-01-30 03:09:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00724,P010,LOC004,Harbour Road,13.1,80.3,2026-01-30 13:03:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00290,P001,LOC005,Market Street,13.07,80.26,2026-01-30 13:32:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00527,P005,LOC005,Market Street,13.07,80.26,2026-01-30 17:15:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00303,P001,LOC005,Market Street,13.07,80.26,2026-01-30 17:15:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00139,P002,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-31 02:19:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00234,P011,LOC003,Industrial Estate,13.06,80.24,2026-01-31 10:54:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00435,P004,LOC002,North Railway Junction,13.095,80.28,2026-01-31 21:57:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00269,P006,LOC007,Riverbank Road,13.05,80.275,2026-01-31 23:52:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00604,P007,LOC003,Industrial Estate,13.06,80.24,2026-02-01 16:27:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00534,P003,LOC010,Metro Station,13.075,80.285,2026-02-02 02:51:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00091,P008,LOC004,Harbour Road,13.1,80.3,2026-02-02 03:34:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-B01-2-P003,P003,LOC005,Market Street,13.07,80.26,2026-02-02 14:00:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-B01-2-P007,P007,LOC005,Market Street,13.07,80.26,2026-02-02 14:13:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-00701,P014,LOC003,Industrial Estate,13.06,80.24,2026-02-03 02:24:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00623,P013,LOC003,Industrial Estate,13.06,80.24,2026-02-03 19:39:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00169,P008,LOC004,Harbour Road,13.1,80.3,2026-02-03 22:52:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00341,P011,LOC003,Industrial Estate,13.06,80.24,2026-02-04 10:14:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00578,P007,LOC003,Industrial Estate,13.06,80.24,2026-02-04 14:28:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00542,P011,LOC006,Old Warehouse District,13.11,80.25,2026-02-05 07:06:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00385,P014,LOC006,Old Warehouse District,13.11,80.25,2026-02-05 22:45:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00419,P012,LOC006,Old Warehouse District,13.11,80.25,2026-02-07 12:54:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00086,P011,LOC006,Old Warehouse District,13.11,80.25,2026-02-07 19:49:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00019,P015,LOC002,North Railway Junction,13.095,80.28,2026-02-08 10:38:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00112,P002,LOC005,Market Street,13.07,80.26,2026-02-08 11:49:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00568,P012,LOC003,Industrial Estate,13.06,80.24,2026-02-08 16:18:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00693,P007,LOC007,Riverbank Road,13.05,80.275,2026-02-08 17:24:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00371,P015,LOC006,Old Warehouse District,13.11,80.25,2026-02-09 11:14:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00574,P008,LOC007,Riverbank Road,13.05,80.275,2026-02-09 11:53:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00681,P010,LOC007,Riverbank Road,13.05,80.275,2026-02-09 20:55:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-B02-1-P005,P005,LOC007,Riverbank Road,13.05,80.275,2026-02-10 14:07:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-B02-1-P010,P010,LOC007,Riverbank Road,13.05,80.275,2026-02-10 14:22:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-00077,P001,LOC010,Metro Station,13.075,80.285,2026-02-10 18:03:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00413,P012,LOC008,Tech Park Zone,13.04,80.23,2026-02-11 07:43:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00471,P005,LOC005,Market Street,13.07,80.26,2026-02-11 18:20:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00421,P007,LOC004,Harbour Road,13.1,80.3,2026-02-11 20:56:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00715,P004,LOC005,Market Street,13.07,80.26,2026-02-12 16:30:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00515,P012,LOC007,Riverbank Road,13.05,80.275,2026-02-13 02:15:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00573,P005,LOC010,Metro Station,13.075,80.285,2026-02-13 02:58:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00526,P009,LOC002,North Railway Junction,13.095,80.28,2026-02-13 03:45:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00702,P013,LOC006,Old Warehouse District,13.11,80.25,2026-02-13 08:52:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00575,P009,LOC006,Old Warehouse District,13.11,80.25,2026-02-13 22:01:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-B01-3-P003,P003,LOC005,Market Street,13.07,80.26,2026-02-14 14:06:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-B01-3-P007,P007,LOC005,Market Street,13.07,80.26,2026-02-14 14:16:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-00104,P005,LOC001,Central Bus Terminal,13.0827,80.2707,2026-02-14 18:18:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00318,P003,LOC010,Metro Station,13.075,80.285,2026-02-14 23:57:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00691,P004,LOC009,South Transit Hub,13.03,80.265,2026-02-15 03:40:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00308,P005,LOC005,Market Street,13.07,80.26,2026-02-15 13:39:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00061,P008,LOC002,North Railway Junction,13.095,80.28,2026-02-15 22:34:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00614,P005,LOC001,Central Bus Terminal,13.0827,80.2707,2026-02-15 23:53:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00131,P009,LOC002,North Railway Junction,13.095,80.28,2026-02-16 03:36:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00151,P006,LOC009,South Transit Hub,13.03,80.265,2026-02-16 10:54:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00665,P003,LOC005,Market Street,13.07,80.26,2026-02-17 18:11:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00683,P013,LOC006,Old Warehouse District,13.11,80.25,2026-02-18 14:03:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00569,P012,LOC008,Tech Park Zone,13.04,80.23,2026-02-18 17:10:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00344,P011,LOC008,Tech Park Zone,13.04,80.23,2026-02-18 21:05:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00601,P013,LOC003,Industrial Estate,13.06,80.24,2026-02-19 03:57:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00422,P005,LOC003,Industrial Estate,13.06,80.24,2026-02-19 04:56:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00520,P008,LOC002,North Railway Junction,13.095,80.28,2026-02-19 08:43:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00147,P001,LOC001,Central Bus Terminal,13.0827,80.2707,2026-02-20 01:17:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00222,P005,LOC003,Industrial Estate,13.06,80.24,2026-02-20 03:03:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00426,P005,LOC001,Central Bus Terminal,13.0827,80.2707,2026-02-20 05:23:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00482,P011,LOC003,Industrial Estate,13.06,80.24,2026-02-20 11:19:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00198,P004,LOC005,Market Street,13.07,80.26,2026-02-21 07:15:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00364,P002,LOC010,Metro Station,13.075,80.285,2026-02-21 07:44:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00728,P013,LOC007,Riverbank Road,13.05,80.275,2026-02-21 10:06:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00031,P001,LOC010,Metro Station,13.075,80.285,2026-02-21 23:05:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00289,P015,LOC006,Old Warehouse District,13.11,80.25,2026-02-22 05:29:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-B02-2-P005,P005,LOC007,Riverbank Road,13.05,80.275,2026-02-22 14:08:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-B02-2-P010,P010,LOC007,Riverbank Road,13.05,80.275,2026-02-22 14:16:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-00150,P007,LOC004,Harbour Road,13.1,80.3,2026-02-22 20:21:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00187,P010,LOC007,Riverbank Road,13.05,80.275,2026-02-22 20:50:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00313,P011,LOC006,Old Warehouse District,13.11,80.25,2026-02-23 12:53:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00383,P005,LOC005,Market Street,13.07,80.26,2026-02-25 04:48:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00280,P014,LOC006,Old Warehouse District,13.11,80.25,2026-02-25 09:12:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00043,P005,LOC005,Market Street,13.07,80.26,2026-02-25 21:59:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00612,P001,LOC010,Metro Station,13.075,80.285,2026-02-26 01:11:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-B01-4-P003,P003,LOC005,Market Street,13.07,80.26,2026-02-26 14:08:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-00589,P011,LOC003,Industrial Estate,13.06,80.24,2026-02-26 14:09:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-B01-4-P007,P007,LOC005,Market Street,13.07,80.26,2026-02-26 14:10:00,SYNTHETIC_COLOCATION_EVENT,Synthetic Demonstration Dataset,True
SYN-LOC-00204,P011,LOC003,Industrial Estate,13.06,80.24,2026-02-26 17:28:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00596,P009,LOC004,Harbour Road,13.1,80.3,2026-02-26 21:50:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00723,P014,LOC008,Tech Park Zone,13.04,80.23,2026-02-27 10:16:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00395,P014,LOC006,Old Warehouse District,13.11,80.25,2026-02-27 16:13:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00224,P002,LOC005,Market Street,13.07,80.26,2026-02-27 21:44:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00576,P003,LOC004,Harbour Road,13.1,80.3,2026-02-28 08:33:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00406,P010,LOC002,North Railway Junction,13.095,80.28,2026-02-28 11:33:00,CELL_TOWER,Synthetic Demonstration Dataset,True
