evidence_id,evidence_type,source_reference,person_id,related_person_id,related_vehicle_id,related_location_id,related_fir_id,collection_date,description,evidence_status,confidence_score,synthetic_data
SYN-EVD-0023,COMMUNICATION_RECORD,ANALYST_UPLOAD,P002,P008,,,,2026-07-08,"Metadata record of communication record associated with P002, catalogued for prototype cross-reference purposes.",COLLECTED,0.83,True
SYN-EVD-0024,PHOTO_REFERENCE,FIELD_UNIT,P002,P007,,LOC005,SYN-FIR-0047,2026-05-11,"Metadata record of photo reference associated with P002, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.53,True
SYN-EVD-0025,LOCATION_OBSERVATION,ANALYST_UPLOAD,P002,,,LOC006,,2026-03-16,"Metadata record of location observation associated with P002, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.49,True
SYN-EVD-0026,PHOTO_REFERENCE,DIGITAL_FORENSICS,P007,P012,V005,LOC003,SYN-FIR-0035,2026-08-04,"Metadata record of photo reference associated with P007, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.61,True
SYN-EVD-0027,DIGITAL_ARTIFACT,DIGITAL_FORENSICS,P013,P006,,,SYN-FIR-0075,2026-04-26,"Metadata record of digital artifact associated with P013, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.64,True
SYN-EVD-0028,PHOTO_REFERENCE,ANALYST_UPLOAD,P014,P003,,,,2026-08-17,"Metadata record of photo reference associated with P014, catalogued for prototype cross-reference purposes.",VERIFIED,0.66,True
SYN-EVD-0029,COMMUNICATION_RECORD,ANALYST_UPLOAD,P010,P003,,LOC009,SYN-FIR-0035,2026-01-12,"Metadata record of communication record associated with P010, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.51,True
SYN-EVD-0030,COMMUNICATION_RECORD,FIELD_UNIT,P012,P003,,LOC004,,2026-01-27,"Metadata record of communication record associated with P012, catalogued for prototype cross-reference purposes.",VERIFIED,0.84,True
SYN-EVD-0031,DIGITAL_ARTIFACT,ANALYST_UPLOAD,P005,P013,,LOC003,,2026-04-20,"Metadata record of digital artifact associated with P005, catalogued for prototype cross-reference purposes.",VERIFIED,0.57,True
SYN-EVD-0032,COMMUNICATION_RECORD,DIGITAL_FORENSICS,P013,,,,,2026-01-12,"Metadata record of communication record associated with P013, catalogued for prototype cross-reference purposes.",VERIFIED,0.76,True
SYN-EVD-0033,LOCATION_OBSERVATION,ANALYST_UPLOAD,P012,P007,V015,LOC004,,2026-05-17,"Metadata record of location observation associated with P012, catalogued for prototype cross-reference purposes.",COLLECTED,0.42,True
SYN-EVD-0034,DOCUMENT,DIGITAL_FORENSICS,P005,,,,SYN-FIR-0006,2026-06-17,"Metadata record of document associated with P005, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.81,True
SYN-EVD-0035,PHOTO_REFERENCE,DIGITAL_FORENSICS,P007,,,,,2026-08-10,"Metadata record of photo reference associated with P007, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.78,True
SYN-EVD-0036,VEHICLE_OBSERVATION,PATROL_LOG,P015,P011,V019,,SYN-FIR-0098,2026-01-17,"Metadata record of vehicle observation associated with P015, catalogued for prototype cross-reference purposes.",COLLECTED,0.95,True
SYN-EVD-0037,LOCATION_OBSERVATION,FIELD_UNIT,P002,P007,,LOC006,,2026-06-12,"Metadata record of location observation associated with P002, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.97,True
SYN-EVD-0038,FINANCIAL_RECORD,ANALYST_UPLOAD,P014,P009,V014,,SYN-FIR-0065,2026-07-17,"Metadata record of financial record associated with P014, catalogued for prototype cross-reference purposes.",COLLECTED,0.75,True
SYN-EVD-0039,PHOTO_REFERENCE,DIGITAL_FORENSICS,P007,,,,,2026-01-17,"Metadata record of photo reference associated with P007, catalogued for prototype cross-reference purposes.",VERIFIED,0.42,True
SYN-EVD-0040,PHOTO_REFERENCE,ANALYST_UPLOAD,P013,,,LOC001,SYN-FIR-0045,2026-02-05,"Metadata record of photo reference associated with P013, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.73,True
SYN-EVD-0041,PHOTO_REFERENCE,FIELD_UNIT,P003,,,,,2026-07-20,"Metadata record of photo reference associated with P003, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.39,True
SYN-EVD-0042,LOCATION_OBSERVATION,PATROL_LOG,P006,,V005,LOC010,,2026-02-15,"Metadata record of location observation associated with P006, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.81,True
SYN-EVD-0043,PHOTO_REFERENCE,DIGITAL_FORENSICS,P011,,,,,2026-02-14,"Metadata record of photo reference associated with P011, catalogued for prototype cross-reference purposes.",VERIFIED,0.31,True
SYN-EVD-0044,COMMUNICATION_RECORD,FIELD_UNIT,P004,P006,,LOC005,,2026-03-04,"Metadata record of communication record associated with P004, catalogued for prototype cross-reference purposes.",VERIFIED,0.6,True
SYN-EVD-0045,FINANCIAL_RECORD,ANALYST_UPLOAD,P006,P010,V001,,,2026-02-02,"Metadata record of financial record associated with P006, catalogued for prototype cross-reference purposes.",VERIFIED,0.96,True
SYN-EVD-0046,FINANCIAL_RECORD,PATROL_LOG,P005,P009,,,,2026-01-04,"Metadata record of financial record associated with P005, catalogued for prototype cross-reference purposes.",VERIFIED,0.92,True
SYN-EVD-0047,LOCATION_OBSERVATION,FIELD_UNIT,P005,,,LOC005,,2026-02-23,"Metadata record of location observation associated with P005, catalogued for prototype cross-reference purposes.",COLLECTED,0.32,True
SYN-EVD-0048,COMMUNICATION_RECORD,DIGITAL_FORENSICS,P014,P006,V017,,,2026-02-09,"Metadata record of communication record associated with P014, catalogued for prototype cross-reference purposes.",VERIFIED,0.8,True
SYN-EVD-0049,VEHICLE_OBSERVATION,PATROL_LOG,P007,P015,V012,,SYN-FIR-0071,2026-04-09,"Metadata record of vehicle observation associated with P007, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.34,True
SYN-EVD-0050,DOCUMENT,FIELD_UNIT,P010,,,,,2026-03-26,"Metadata record of document associated with P010, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.58,True
SYN-EVD-0051,LOCATION_OBSERVATION,DIGITAL_FORENSICS,P003,,,LOC002,SYN-FIR-0030,2026-02-23,"Metadata record of location observation associated with P003, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.73,True
SYN-EVD-0052,COMMUNICATION_RECORD,FIELD_UNIT,P002,,,,SYN-FIR-0048,2026-01-13,"Metadata record of communication record associated with P002, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.4,True
SYN-EVD-0053,DOCUMENT,DIGITAL_FORENSICS,P011,P013,,,,2026-03-05,"Metadata record of document associated with P011, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.5,True
SYN-EVD-0054,COMMUNICATION_RECORD,ANALYST_UPLOAD,P013,P006,,,,2026-06-16,"Metadata record of communication record associated with P013, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.95,True
SYN-EVD-0055,FINANCIAL_RECORD,ANALYST_UPLOAD,P010,P014,V011,,SYN-FIR-0074,2026-05-24,"Metadata record of financial record associated with P010, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.74,True
SYN-EVD-0056,PHOTO_REFERENCE,DIGITAL_FORENSICS,P005,,,,,2026-06-23,"Metadata record of photo reference associated with P005, catalogued for prototype cross-reference purposes.",COLLECTED,0.4,True
SYN-EVD-0057,FINANCIAL_RECORD,DIGITAL_FORENSICS,P006,P008,,LOC008,SYN-FIR-0015,2026-03-12,"Metadata record of financial record associated with P006, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.67,True
SYN-EVD-0058,DOCUMENT,ANALYST_UPLOAD,P004,,,LOC009,,2026-03-30,"Metadata record of document associated with P004, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.45,True
SYN-EVD-0059,FINANCIAL_RECORD,FIELD_UNIT,P012,P009,,,,2026-06-20,"Metadata record of financial record associated with P012, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.88,True
SYN-EVD-0060,FINANCIAL_RECORD,ANALYST_UPLOAD,P009,,,LOC009,SYN-FIR-0088,2026-07-31,"Metadata record of financial record associated with P009, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.95,True
SYN-EVD-0061,PHOTO_REFERENCE,FIELD_UNIT,P010,P002,V020,LOC004,SYN-FIR-0006,2026-08-19,"Metadata record of photo reference associated with P010, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.61,True
SYN-EVD-0062,DOCUMENT,PATROL_LOG,P012,P002,,,,2026-03-07,"Metadata record of document associated with P012, catalogued for prototype cross-reference purposes.",VERIFIED,0.8,True
SYN-EVD-0063,VEHICLE_OBSERVATION,PATROL_LOG,P013,,V001,,SYN-FIR-0048,2026-07-09,"Metadata record of vehicle observation associated with P013, catalogued for prototype cross-reference purposes.",COLLECTED,0.85,True
SYN-EVD-0064,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P002,P007,V020,LOC004,SYN-FIR-0025,2026-01-09,"Metadata record of vehicle observation associated with P002, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.38,True
SYN-EVD-0065,DOCUMENT,ANALYST_UPLOAD,P008,P014,,LOC005,,2026-02-26,"Metadata record of document associated with P008, catalogued for prototype cross-reference purposes.",VERIFIED,0.66,True
SYN-EVD-0066,LOCATION_OBSERVATION,ANALYST_UPLOAD,P013,,,LOC001,SYN-FIR-0020,2026-07-14,"Metadata record of location observation associated with P013, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.88,True
SYN-EVD-0067,DIGITAL_ARTIFACT,ANALYST_UPLOAD,P014,P003,,,,2026-03-03,"Metadata record of digital artifact associated with P014, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.56,True
SYN-EVD-0068,DIGITAL_ARTIFACT,FIELD_UNIT,P010,P006,,LOC003,,2026-03-24,"Metadata record of digital artifact associated with P010, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.85,True
SYN-EVD-0069,LOCATION_OBSERVATION,ANALYST_UPLOAD,P008,P009,,LOC006,SYN-FIR-0043,2026-05-10,"Metadata record of location observation associated with P008, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.31,True
SYN-EVD-0070,COMMUNICATION_RECORD,PATROL_LOG,P015,,V005,,SYN-FIR-0050,2026-01-25,"Metadata record of communication record associated with P015, catalogued for prototype cross-reference purposes.",VERIFIED,0.54,True
SYN-EVD-0071,FINANCIAL_RECORD,FIELD_UNIT,P009,P003,,LOC009,,2026-03-19,"Metadata record of financial record associated with P009, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.72,True
SYN-EVD-0072,LOCATION_OBSERVATION,DIGITAL_FORENSICS,P002,P006,,LOC004,,2026-01-28,"Metadata record of location observation associated with P002, catalogued for prototype cross-reference purposes.",VERIFIED,0.95,True
SYN-EVD-0073,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P012,P015,V008,,,2026-05-10,"Metadata record of vehicle observation associated with P012, catalogued for prototype cross-reference purposes.",COLLECTED,0.77,True
SYN-EVD-0074,LOCATION_OBSERVATION,DIGITAL_FORENSICS,P006,,,LOC009,SYN-FIR-0032,2026-05-16,"Metadata record of location observation associated with P006, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.39,True
SYN-EVD-0075,DOCUMENT,PATROL_LOG,P015,,,,,2026-03-07,"Metadata record of document associated with P015, catalogued for prototype cross-reference purposes.",COLLECTED,0.4,True
SYN-EVD-0076,LOCATION_OBSERVATION,FIELD_UNIT,P005,P011,,LOC006,SYN-FIR-0025,2026-08-16,"Metadata record of location observation associated with P005, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.5,True
SYN-EVD-0077,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P008,P014,V014,,,2026-05-04,"Metadata record of vehicle observation associated with P008, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.48,True
SYN-EVD-0078,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P009,P003,V009,LOC001,SYN-FIR-0052,2026-03-19,"Metadata record of vehicle observation associated with P009, catalogued for prototype cross-reference purposes.",VERIFIED,0.88,True
SYN-EVD-0079,LOCATION_OBSERVATION,PATROL_LOG,P002,P013,V005,LOC010,SYN-FIR-0010,2026-02-23,"Metadata record of location observation associated with P002, catalogued for prototype cross-reference purposes.",COLLECTED,0.43,True
SYN-EVD-0080,FINANCIAL_RECORD,FIELD_UNIT,P011,,,,SYN-FIR-0042,2026-07-08,"Metadata record of financial record associated with P011, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.71,True
SYN-EVD-0081,DIGITAL_ARTIFACT,ANALYST_UPLOAD,P006,P015,,LOC010,SYN-FIR-0064,2026-04-10,"Metadata record of digital artifact associated with P006, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.89,True
SYN-EVD-0082,DOCUMENT,PATROL_LOG,P015,P011,,LOC010,,2026-03-02,"Metadata record of document associated with P015, catalogued for prototype cross-reference purposes.",COLLECTED,0.31,True
SYN-EVD-0083,PHOTO_REFERENCE,DIGITAL_FORENSICS,P003,P015,V012,,,2026-08-22,"Metadata record of photo reference associated with P003, catalogued for prototype cross-reference purposes.",VERIFIED,0.45,True
SYN-EVD-0084,FINANCIAL_RECORD,ANALYST_UPLOAD,P005,,,LOC005,,2026-08-06,"Metadata record of financial record associated with P005, catalogued for prototype cross-reference purposes.",VERIFIED,0.54,True
SYN-EVD-0085,FINANCIAL_RECORD,DIGITAL_FORENSICS,P005,P001,,LOC006,SYN-FIR-0081,2026-06-05,"Metadata record of financial record associated with P005, catalogued for prototype cross-reference purposes.",COLLECTED,0.93,True
SYN-EVD-0086,FINANCIAL_RECORD,PATROL_LOG,P003,P010,,,SYN-FIR-0078,2026-02-27,"Metadata record of financial record associated with P003, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.88,True
SYN-EVD-0087,DIGITAL_ARTIFACT,ANALYST_UPLOAD,P015,,,,,2026-07-13,"Metadata record of digital artifact associated with P015, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.73,True
SYN-EVD-0088,VEHICLE_OBSERVATION,FIELD_UNIT,P015,,V015,LOC001,SYN-FIR-0094,2026-01-26,"Metadata record of vehicle observation associated with P015, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.75,True
SYN-EVD-0089,VEHICLE_OBSERVATION,DIGITAL_FORENSICS,P001,P008,V014,,SYN-FIR-0085,2026-01-12,"Metadata record of vehicle observation associated with P001, catalogued for prototype cross-reference purposes.",VERIFIED,0.31,True
SYN-EVD-0090,LOCATION_OBSERVATION,PATROL_LOG,P007,P006,,LOC007,,2026-07-13,"Metadata record of location observation associated with P007, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.96,True
SYN-EVD-0091,DIGITAL_ARTIFACT,PATROL_LOG,P003,P015,,,SYN-FIR-0039,2026-02-04,"Metadata record of digital artifact associated with P003, catalogued for prototype cross-reference purposes.",VERIFIED,0.3,True
SYN-EVD-0092,DIGITAL_ARTIFACT,FIELD_UNIT,P015,P006,,,,2026-03-23,"Metadata record of digital artifact associated with P015, catalogued for prototype cross-reference purposes.",VERIFIED,0.33,True
SYN-EVD-0093,DIGITAL_ARTIFACT,FIELD_UNIT,P014,P007,,,SYN-FIR-0004,2026-03-01,"Metadata record of digital artifact associated with P014, catalogued for prototype cross-reference purposes.",COLLECTED,0.39,True
SYN-EVD-0094,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P003,P007,V004,,,2026-02-05,"Metadata record of vehicle observation associated with P003, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.53,True
SYN-EVD-0095,LOCATION_OBSERVATION,DIGITAL_FORENSICS,P012,P006,,LOC001,,2026-01-06,"Metadata record of location observation associated with P012, catalogued for prototype cross-reference purposes.",COLLECTED,0.39,True
SYN-EVD-0096,FINANCIAL_RECORD,FIELD_UNIT,P004,P013,V001,LOC006,SYN-FIR-0015,2026-07-09,"Metadata record of financial record associated with P004, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.65,True
SYN-EVD-0097,DOCUMENT,ANALYST_UPLOAD,P003,P010,V018,,SYN-FIR-0046,2026-01-31,"Metadata record of document associated with P003, catalogued for prototype cross-reference purposes.",VERIFIED,0.95,True
SYN-EVD-0098,DIGITAL_ARTIFACT,DIGITAL_FORENSICS,P015,P002,,LOC005,SYN-FIR-0006,2026-07-17,"Metadata record of digital artifact associated with P015, catalogued for prototype cross-reference purposes.",COLLECTED,0.57,True
SYN-EVD-0099,FINANCIAL_RECORD,PATROL_LOG,P006,P007,,,,2026-06-09,"Metadata record of financial record associated with P006, catalogued for prototype cross-reference purposes.",VERIFIED,0.57,True
SYN-EVD-0100,VEHICLE_OBSERVATION,DIGITAL_FORENSICS,P009,P003,V013,,,2026-01-03,"Metadata record of vehicle observation associated with P009, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.71,True
SYN-EVD-0101,VEHICLE_OBSERVATION,FIELD_UNIT,P012,,V013,,,2026-02-03,"Metadata record of vehicle observation associated with P012, catalogued for prototype cross-reference purposes.",COLLECTED,0.91,True
SYN-EVD-0102,DOCUMENT,PATROL_LOG,P007,,,,,2026-06-26,"Metadata record of document associated with P007, catalogued for prototype cross-reference purposes.",COLLECTED,0.62,True
SYN-EVD-0103,LOCATION_OBSERVATION,ANALYST_UPLOAD,P014,P006,,LOC007,SYN-FIR-0081,2026-05-18,"Metadata record of location observation associated with P014, catalogued for prototype cross-reference purposes.",COLLECTED,0.56,True
SYN-EVD-0104,FINANCIAL_RECORD,DIGITAL_FORENSICS,P005,,,,,2026-08-26,"Metadata record of financial record associated with P005, catalogued for prototype cross-reference purposes.",VERIFIED,0.48,True
SYN-EVD-0105,DIGITAL_ARTIFACT,DIGITAL_FORENSICS,P008,,,,,2026-01-26,"Metadata record of digital artifact associated with P008, catalogued for prototype cross-reference purposes.",VERIFIED,0.65,True
SYN-EVD-0106,FINANCIAL_RECORD,FIELD_UNIT,P003,,,LOC008,SYN-FIR-0084,2026-05-06,"Metadata record of financial record associated with P003, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.54,True
SYN-EVD-0107,DIGITAL_ARTIFACT,PATROL_LOG,P014,P007,V009,,SYN-FIR-0085,2026-06-25,"Metadata record of digital artifact associated with P014, catalogued for prototype cross-reference purposes.",COLLECTED,0.48,True
SYN-EVD-0108,VEHICLE_OBSERVATION,DIGITAL_FORENSICS,P008,,V015,,,2026-07-20,"Metadata record of vehicle observation associated with P008, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.3,True
SYN-EVD-0109,PHOTO_REFERENCE,PATROL_LOG,P006,P012,,,SYN-FIR-0049,2026-01-07,"Metadata record of photo reference associated with P006, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.3,True
SYN-EVD-0110,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P001,P006,V018,LOC006,SYN-FIR-0034,2026-02-05,"Metadata record of vehicle observation associated with P001, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.88,True
SYN-EVD-0111,PHOTO_REFERENCE,ANALYST_UPLOAD,P003,P014,,,,2026-05-26,"Metadata record of photo reference associated with P003, catalogued for prototype cross-reference purposes.",VERIFIED,0.33,True
SYN-EVD-0112,DIGITAL_ARTIFACT,ANALYST_UPLOAD,P005,,,,SYN-FIR-0031,2026-08-13,"Metadata record of digital artifact associated with P005, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.92,True
SYN-EVD-0113,PHOTO_REFERENCE,FIELD_UNIT,P014,,,,SYN-FIR-0010,2026-06-23,"Metadata record of photo reference associated with P014, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.56,True
SYN-EVD-0114,COMMUNICATION_RECORD,ANALYST_UPLOAD,P008,,,,SYN-FIR-0073,2026-06-29,"Metadata record of communication record associated with P008, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.58,True
SYN-EVD-0115,COMMUNICATION_RECORD,FIELD_UNIT,P003,,,,,2026-04-01,"Metadata record of communication record associated with P003, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.57,True
SYN-EVD-0116,DOCUMENT,FIELD_UNIT,P015,,,,,2026-02-04,"Metadata record of document associated with P015, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.87,True
SYN-EVD-0117,FINANCIAL_RECORD,DIGITAL_FORENSICS,P014,P008,V007,,SYN-FIR-0088,2026-05-11,"Metadata record of financial record associated with P014, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.88,True
SYN-EVD-0118,FINANCIAL_RECORD,DIGITAL_FORENSICS,P012,,,LOC007,,2026-05-05,"Metadata record of financial record associated with P012, catalogued for prototype cross-reference purposes.",VERIFIED,0.43,True
SYN-EVD-0119,DOCUMENT,PATROL_LOG,P003,,,LOC006,SYN-FIR-0085,2026-08-04,"Metadata record of document associated with P003, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.64,True
SYN-EVD-0120,COMMUNICATION_RECORD,PATROL_LOG,P011,P005,,,,2026-04-29,"Metadata record of communication record associated with P011, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.39,True
SYN-EVD-0121,PHOTO_REFERENCE,DIGITAL_FORENSICS,P009,,,,,2026-05-23,"Metadata record of photo reference associated with P009, catalogued for prototype cross-reference purposes.",VERIFIED,0.43,True
SYN-EVD-0122,LOCATION_OBSERVATION,ANALYST_UPLOAD,P009,,,LOC001,,2026-08-08,"Metadata record of location observation associated with P009, catalogued for prototype cross-reference purposes.",VERIFIED,0.32,True
SYN-EVD-0123,PHOTO_REFERENCE,ANALYST_UPLOAD,P013,P004,,,,2026-06-07,"Metadata record of photo reference associated with P013, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.44,True
SYN-EVD-0124,PHOTO_REFERENCE,ANALYST_UPLOAD,P001,P015,,LOC002,,2026-03-11,"Metadata record of photo reference associated with P001, catalogued for prototype cross-reference purposes.",COLLECTED,0.92,True
SYN-EVD-0125,FINANCIAL_RECORD,PATROL_LOG,P012,,,,,2026-03-23,"Metadata record of financial record associated with P012, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.4,True
SYN-EVD-0126,LOCATION_OBSERVATION,PATROL_LOG,P004,P009,V003,LOC001,,2026-06-21,"Metadata record of location observation associated with P004, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.4,True
SYN-EVD-0127,DOCUMENT,PATROL_LOG,P015,,V015,LOC004,,2026-08-06,"Metadata record of document associated with P015, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.51,True
SYN-EVD-0128,VEHICLE_OBSERVATION,DIGITAL_FORENSICS,P006,P004,V005,,,2026-06-02,"Metadata record of vehicle observation associated with P006, catalogued for prototype cross-reference purposes.",COLLECTED,0.52,True
