event_id,case_id,event_timestamp,event_type,person_id,related_person_id,location_id,vehicle_id,source_reference,event_description,confidence_score,synthetic_data
SYN-EVT-00018,CASE-002,2026-03-19T00:39:45,FIR_REGISTERED,P003,P006,LOC002,V003,SYSTEM_AUTO_LOG,Fir Registered logged for P003 in relation to P006.,0.61,True
SYN-EVT-00019,CASE-004,2026-05-10T07:55:25,CALL_DETECTED,P009,P005,,,SYSTEM_AUTO_LOG,Call Detected logged for P009 in relation to P005.,0.9,True
SYN-EVT-00020,CASE-005,2026-05-13T16:51:41,VEHICLE_OBSERVED,P003,P002,LOC005,V011,FIELD_UPDATE,Vehicle Observed logged for P003 in relation to P002.,0.62,True
SYN-EVT-00021,CASE-005,2026-06-14T04:57:11,TRANSACTION_DETECTED,P010,,,,ANALYST_ENTRY,Transaction Detected logged for P010.,0.49,True
SYN-EVT-00022,CASE-004,2026-07-01T22:08:23,FIR_REGISTERED,P004,P002,LOC010,V015,SYSTEM_AUTO_LOG,Fir Registered logged for P004 in relation to P002.,0.7,True
SYN-EVT-00023,CASE-002,2026-04-04T13:33:48,ALERT_GENERATED,P010,P001,,V015,ANALYST_ENTRY,Alert Generated logged for P010 in relation to P001.,0.63,True
SYN-EVT-00024,CASE-001,2026-03-24T02:59:19,ANALYST_REVIEW,P009,P001,LOC001,V010,FIELD_UPDATE,Analyst Review logged for P009 in relation to P001.,0.77,True
SYN-EVT-00025,CASE-002,2026-04-12T06:42:24,ALERT_GENERATED,P010,P003,,,SYSTEM_AUTO_LOG,Alert Generated logged for P010 in relation to P003.,0.4,True
SYN-EVT-00026,CASE-003,2026-01-22T14:45:23,TRANSACTION_DETECTED,P008,,LOC009,,FIELD_UPDATE,Transaction Detected logged for P008.,0.51,True
SYN-EVT-00027,CASE-002,2026-03-18T18:46:14,VEHICLE_OBSERVED,P001,P005,LOC004,,ANALYST_ENTRY,Vehicle Observed logged for P001 in relation to P005.,0.38,True
SYN-EVT-00028,CASE-003,2026-05-01T16:34:49,ANALYST_REVIEW,P012,,,,SYSTEM_AUTO_LOG,Analyst Review logged for P012.,0.37,True
SYN-EVT-00029,CASE-001,2026-07-05T05:00:01,CALL_DETECTED,P010,P008,LOC009,V011,FIELD_UPDATE,Call Detected logged for P010 in relation to P008.,0.57,True
SYN-EVT-00030,CASE-003,2026-02-04T02:55:11,INTELLIGENCE_RECEIVED,P009,P013,,V015,FIELD_UPDATE,Intelligence Received logged for P009 in relation to P013.,0.9,True
SYN-EVT-00031,CASE-005,2026-01-14T15:23:09,LOCATION_OBSERVED,P001,,LOC008,,ANALYST_ENTRY,Location Observed logged for P001.,0.73,True
SYN-EVT-00032,CASE-002,2026-01-20T21:27:44,INTELLIGENCE_RECEIVED,P007,,LOC002,,SYSTEM_AUTO_LOG,Intelligence Received logged for P007.,0.49,True
SYN-EVT-00033,CASE-003,2026-06-07T19:26:08,LOCATION_OBSERVED,P009,P002,LOC009,,SYSTEM_AUTO_LOG,Location Observed logged for P009 in relation to P002.,0.46,True
SYN-EVT-00034,CASE-003,2026-08-03T08:21:52,ENTITY_LINKED,P013,,LOC004,,SYSTEM_AUTO_LOG,Entity Linked logged for P013.,0.36,True
SYN-EVT-00035,CASE-005,2026-06-02T16:54:15,ENTITY_LINKED,P008,P003,,,FIELD_UPDATE,Entity Linked logged for P008 in relation to P003.,0.43,True
SYN-EVT-00036,CASE-001,2026-04-07T06:48:40,LOCATION_OBSERVED,P012,P008,,,SYSTEM_AUTO_LOG,Location Observed logged for P012 in relation to P008.,0.47,True
SYN-EVT-00037,CASE-002,2026-05-02T17:29:53,ALERT_GENERATED,P014,,,,SYSTEM_AUTO_LOG,Alert Generated logged for P014.,0.77,True
SYN-EVT-00038,CASE-001,2026-08-12T06:22:56,INTELLIGENCE_RECEIVED,P011,P007,,,ANALYST_ENTRY,Intelligence Received logged for P011 in relation to P007.,0.31,True
SYN-EVT-00039,CASE-003,2026-04-14T07:04:55,VEHICLE_OBSERVED,P010,P001,LOC006,,ANALYST_ENTRY,Vehicle Observed logged for P010 in relation to P001.,0.5,True
SYN-EVT-00040,CASE-001,2026-08-09T04:34:21,INVESTIGATION_UPDATE,P006,P005,,V014,SYSTEM_AUTO_LOG,Investigation Update logged for P006 in relation to P005.,0.83,True
SYN-EVT-00041,CASE-002,2026-05-07T13:42:07,FIR_REGISTERED,P015,,,,ANALYST_ENTRY,Fir Registered logged for P015.,0.58,True
SYN-EVT-00042,CASE-003,2026-05-05T03:54:31,VEHICLE_OBSERVED,P003,P013,,V006,SYSTEM_AUTO_LOG,Vehicle Observed logged for P003 in relation to P013.,0.86,True
SYN-EVT-00043,CASE-005,2026-07-02T14:45:14,ANALYST_REVIEW,P011,,,,ANALYST_ENTRY,Analyst Review logged for P011.,0.81,True
SYN-EVT-00044,CASE-001,2026-01-10T22:21:43,TRANSACTION_DETECTED,P012,P004,LOC006,,SYSTEM_AUTO_LOG,Transaction Detected logged for P012 in relation to P004.,0.54,True
SYN-EVT-00045,CASE-002,2026-05-01T20:02:48,INVESTIGATION_UPDATE,P002,P001,,,ANALYST_ENTRY,Investigation Update logged for P002 in relation to P001.,0.92,True
SYN-EVT-00046,CASE-005,2026-05-01T23:36:55,VEHICLE_OBSERVED,P011,,,,FIELD_UPDATE,Vehicle Observed logged for P011.,0.87,True
SYN-EVT-00047,CASE-005,2026-03-30T04:38:42,INVESTIGATION_UPDATE,P015,P010,LOC008,,SYSTEM_AUTO_LOG,Investigation Update logged for P015 in relation to P010.,0.44,True
SYN-EVT-00048,CASE-001,2026-06-29T05:47:11,ANALYST_REVIEW,P006,,,,FIELD_UPDATE,Analyst Review logged for P006.,0.67,True
SYN-EVT-00049,CASE-002,2026-05-19T11:52:43,FIR_REGISTERED,P012,P002,,,SYSTEM_AUTO_LOG,Fir Registered logged for P012 in relation to P002.,0.44,True
SYN-EVT-00050,CASE-004,2026-03-20T08:12:10,INVESTIGATION_UPDATE,P013,P006,LOC002,,ANALYST_ENTRY,Investigation Update logged for P013 in relation to P006.,0.5,True
SYN-EVT-00051,CASE-002,2026-01-05T05:00:44,INTELLIGENCE_RECEIVED,P009,,,,FIELD_UPDATE,Intelligence Received logged for P009.,0.87,True
SYN-EVT-00052,CASE-005,2026-08-03T03:19:02,INVESTIGATION_UPDATE,P007,,,V001,SYSTEM_AUTO_LOG,Investigation Update logged for P007.,0.86,True
SYN-EVT-00053,CASE-002,2026-03-25T12:55:59,INTELLIGENCE_RECEIVED,P001,,,,FIELD_UPDATE,Intelligence Received logged for P001.,0.6,True
SYN-EVT-00054,CASE-004,2026-08-22T20:05:34,LOCATION_OBSERVED,P009,P003,,,FIELD_UPDATE,Location Observed logged for P009 in relation to P003.,0.47,True
SYN-EVT-00055,CASE-004,2026-03-06T05:54:39,VEHICLE_OBSERVED,P004,P010,LOC001,,FIELD_UPDATE,Vehicle Observed logged for P004 in relation to P010.,0.81,True
SYN-EVT-00056,CASE-002,2026-03-20T10:44:54,ANALYST_REVIEW,P005,P015,LOC003,,FIELD_UPDATE,Analyst Review logged for P005 in relation to P015.,0.77,True
SYN-EVT-00057,CASE-002,2026-01-21T09:51:47,CALL_DETECTED,P012,P010,LOC007,,ANALYST_ENTRY,Call Detected logged for P012 in relation to P010.,0.91,True
SYN-EVT-00058,CASE-005,2026-03-08T15:24:08,ALERT_GENERATED,P014,P002,,V015,FIELD_UPDATE,Alert Generated logged for P014 in relation to P002.,0.44,True
SYN-EVT-00059,CASE-002,2026-05-19T11:15:30,ANALYST_REVIEW,P006,P013,,V014,FIELD_UPDATE,Analyst Review logged for P006 in relation to P013.,0.58,True
SYN-EVT-00060,CASE-004,2026-02-18T08:05:48,VEHICLE_OBSERVED,P003,,LOC004,,FIELD_UPDATE,Vehicle Observed logged for P003.,0.49,True
SYN-EVT-00061,CASE-005,2026-07-03T02:01:17,ENTITY_LINKED,P008,,,,FIELD_UPDATE,Entity Linked logged for P008.,0.43,True
SYN-EVT-00062,CASE-002,2026-06-06T15:55:30,INVESTIGATION_UPDATE,P009,P003,LOC007,,SYSTEM_AUTO_LOG,Investigation Update logged for P009 in relation to P003.,0.53,True
SYN-EVT-00063,CASE-004,2026-08-11T08:45:28,ENTITY_LINKED,P006,P013,,,FIELD_UPDATE,Entity Linked logged for P006 in relation to P013.,0.3,True
SYN-EVT-00064,CASE-004,2026-03-02T18:24:00,ALERT_GENERATED,P006,,,,FIELD_UPDATE,Alert Generated logged for P006.,0.72,True
SYN-EVT-00065,CASE-004,2026-03-27T07:32:37,FIR_REGISTERED,P011,P006,,,ANALYST_ENTRY,Fir Registered logged for P011 in relation to P006.,0.82,True
SYN-EVT-00066,CASE-002,2026-01-11T09:19:17,LOCATION_OBSERVED,P009,,LOC003,,FIELD_UPDATE,Location Observed logged for P009.,0.51,True
SYN-EVT-00067,CASE-005,2026-07-26T14:18:59,ALERT_GENERATED,P008,P006,,,ANALYST_ENTRY,Alert Generated logged for P008 in relation to P006.,0.72,True
SYN-EVT-00068,CASE-005,2026-04-12T04:59:15,ALERT_GENERATED,P002,P008,,,SYSTEM_AUTO_LOG,Alert Generated logged for P002 in relation to P008.,0.54,True
SYN-EVT-00069,CASE-005,2026-07-12T06:02:52,ENTITY_LINKED,P002,P012,LOC006,,SYSTEM_AUTO_LOG,Entity Linked logged for P002 in relation to P012.,0.91,True
SYN-EVT-00070,CASE-001,2026-03-30T12:59:39,ENTITY_LINKED,P001,P005,,V010,SYSTEM_AUTO_LOG,Entity Linked logged for P001 in relation to P005.,0.34,True
SYN-EVT-00071,CASE-001,2026-02-04T19:03:23,VEHICLE_OBSERVED,P002,,,,SYSTEM_AUTO_LOG,Vehicle Observed logged for P002.,0.58,True
SYN-EVT-00072,CASE-004,2026-03-11T16:53:13,TRANSACTION_DETECTED,P001,,,,FIELD_UPDATE,Transaction Detected logged for P001.,0.38,True
SYN-EVT-00073,CASE-001,2026-03-07T10:12:58,VEHICLE_OBSERVED,P001,P004,LOC006,,SYSTEM_AUTO_LOG,Vehicle Observed logged for P001 in relation to P004.,0.6,True
SYN-EVT-00074,CASE-002,2026-06-08T20:18:42,CALL_DETECTED,P003,P007,LOC007,,ANALYST_ENTRY,Call Detected logged for P003 in relation to P007.,0.59,True
SYN-EVT-00075,CASE-002,2026-01-23T21:19:05,ALERT_GENERATED,P001,,LOC003,,ANALYST_ENTRY,Alert Generated logged for P001.,0.64,True
SYN-EVT-00076,CASE-005,2026-08-22T09:49:18,FIR_REGISTERED,P013,P014,LOC008,,FIELD_UPDATE,Fir Registered logged for P013 in relation to P014.,0.52,True
SYN-EVT-00077,CASE-001,2026-02-25T07:55:03,ENTITY_LINKED,P009,,,,ANALYST_ENTRY,Entity Linked logged for P009.,0.41,True
SYN-EVT-00078,CASE-001,2026-07-19T22:37:12,ENTITY_LINKED,P003,,,,SYSTEM_AUTO_LOG,Entity Linked logged for P003.,0.85,True
SYN-EVT-00079,CASE-002,2026-06-08T18:09:18,INTELLIGENCE_RECEIVED,P007,,,,ANALYST_ENTRY,Intelligence Received logged for P007.,0.92,True
SYN-EVT-00080,CASE-002,2026-08-27T16:33:05,INVESTIGATION_UPDATE,P015,,LOC007,V007,SYSTEM_AUTO_LOG,Investigation Update logged for P015.,0.94,True
SYN-EVT-00081,CASE-005,2026-08-11T18:26:15,INTELLIGENCE_RECEIVED,P006,,LOC010,,FIELD_UPDATE,Intelligence Received logged for P006.,0.62,True
SYN-EVT-00082,CASE-001,2026-01-19T00:45:03,VEHICLE_OBSERVED,P014,,,,SYSTEM_AUTO_LOG,Vehicle Observed logged for P014.,0.58,True
SYN-EVT-00083,CASE-005,2026-01-02T16:43:36,CALL_DETECTED,P010,P005,,,SYSTEM_AUTO_LOG,Call Detected logged for P010 in relation to P005.,0.68,True
SYN-EVT-00084,CASE-005,2026-04-10T15:43:18,LOCATION_OBSERVED,P002,P003,,,SYSTEM_AUTO_LOG,Location Observed logged for P002 in relation to P003.,0.77,True
SYN-EVT-00085,CASE-003,2026-05-24T21:25:50,INTELLIGENCE_RECEIVED,P002,P015,LOC005,,SYSTEM_AUTO_LOG,Intelligence Received logged for P002 in relation to P015.,0.9,True
SYN-EVT-00086,CASE-003,2026-06-05T19:58:50,ANALYST_REVIEW,P009,P011,,,FIELD_UPDATE,Analyst Review logged for P009 in relation to P011.,0.92,True
SYN-EVT-00087,CASE-002,2026-08-22T18:18:27,ALERT_GENERATED,P002,P015,,,FIELD_UPDATE,Alert Generated logged for P002 in relation to P015.,0.78,True
SYN-EVT-00088,CASE-004,2026-07-16T15:49:51,LOCATION_OBSERVED,P006,,,,SYSTEM_AUTO_LOG,Location Observed logged for P006.,0.59,True
SYN-EVT-00089,CASE-001,2026-02-01T06:20:01,FIR_REGISTERED,P002,P014,LOC010,,FIELD_UPDATE,Fir Registered logged for P002 in relation to P014.,0.49,True
SYN-EVT-00090,CASE-001,2026-04-12T01:57:26,INVESTIGATION_UPDATE,P003,,,,ANALYST_ENTRY,Investigation Update logged for P003.,0.41,True
SYN-EVT-00091,CASE-002,2026-04-28T06:16:45,TRANSACTION_DETECTED,P008,,LOC001,V020,SYSTEM_AUTO_LOG,Transaction Detected logged for P008.,0.71,True
SYN-EVT-00092,CASE-004,2026-05-02T11:04:17,ANALYST_REVIEW,P010,,LOC007,,FIELD_UPDATE,Analyst Review logged for P010.,0.34,True
SYN-EVT-00093,CASE-004,2026-04-11T12:11:37,ENTITY_LINKED,P004,,,,SYSTEM_AUTO_LOG,Entity Linked logged for P004.,0.64,True
SYN-EVT-00094,CASE-002,2026-04-15T00:30:06,CALL_DETECTED,P009,P003,,,FIELD_UPDATE,Call Detected logged for P009 in relation to P003.,0.54,True
SYN-EVT-00095,CASE-005,2026-05-23T19:00:25,ANALYST_REVIEW,P008,,LOC006,,ANALYST_ENTRY,Analyst Review logged for P008.,0.92,True
SYN-EVT-00096,CASE-003,2026-05-04T10:28:19,LOCATION_OBSERVED,P008,,LOC009,V001,SYSTEM_AUTO_LOG,Location Observed logged for P008.,0.6,True
SYN-EVT-00097,CASE-005,2026-05-21T17:04:15,VEHICLE_OBSERVED,P008,,,,ANALYST_ENTRY,Vehicle Observed logged for P008.,0.92,True
SYN-EVT-00098,CASE-002,2026-04-05T20:15:23,TRANSACTION_DETECTED,P009,,LOC010,V010,FIELD_UPDATE,Transaction Detected logged for P009.,0.93,True
SYN-EVT-00099,CASE-001,2026-04-03T03:22:15,CALL_DETECTED,P007,P010,LOC009,,FIELD_UPDATE,Call Detected logged for P007 in relation to P010.,0.37,True
SYN-EVT-00100,CASE-005,2026-06-15T15:42:10,VEHICLE_OBSERVED,P015,P004,,V002,SYSTEM_AUTO_LOG,Vehicle Observed logged for P015 in relation to P004.,0.93,True
SYN-EVT-00101,CASE-001,2026-08-17T22:35:12,INTELLIGENCE_RECEIVED,P015,,,,FIELD_UPDATE,Intelligence Received logged for P015.,0.84,True
SYN-EVT-00102,CASE-002,2026-07-20T05:23:08,FIR_REGISTERED,P010,P003,LOC002,,ANALYST_ENTRY,Fir Registered logged for P010 in relation to P003.,0.74,True
SYN-EVT-00103,CASE-001,2026-07-19T18:35:02,ENTITY_LINKED,P007,,LOC007,V009,SYSTEM_AUTO_LOG,Entity Linked logged for P007.,0.58,True
SYN-EVT-00104,CASE-004,2026-03-04T13:47:36,FIR_REGISTERED,P001,,,,ANALYST_ENTRY,Fir Registered logged for P001.,0.77,True
SYN-EVT-00105,CASE-003,2026-02-28T00:11:28,ANALYST_REVIEW,P003,P007,,V005,SYSTEM_AUTO_LOG,Analyst Review logged for P003 in relation to P007.,0.68,True
SYN-EVT-00106,CASE-005,2026-07-31T02:36:14,CALL_DETECTED,P003,P011,LOC008,,SYSTEM_AUTO_LOG,Call Detected logged for P003 in relation to P011.,0.77,True
SYN-EVT-00107,CASE-001,2026-07-05T10:08:20,TRANSACTION_DETECTED,P007,P014,LOC006,V003,FIELD_UPDATE,Transaction Detected logged for P007 in relation to P014.,0.55,True
SYN-EVT-00108,CASE-002,2026-01-20T00:14:53,INTELLIGENCE_RECEIVED,P008,,,,ANALYST_ENTRY,Intelligence Received logged for P008.,0.94,True
SYN-EVT-00109,CASE-002,2026-02-04T12:07:25,TRANSACTION_DETECTED,P015,P003,LOC002,,ANALYST_ENTRY,Transaction Detected logged for P015 in relation to P003.,0.72,True
SYN-EVT-00110,CASE-004,2026-05-06T22:37:10,ENTITY_LINKED,P013,P009,LOC003,V014,SYSTEM_AUTO_LOG,Entity Linked logged for P013 in relation to P009.,0.76,True
SYN-EVT-00111,CASE-004,2026-01-23T16:12:33,ENTITY_LINKED,P015,P001,LOC003,,ANALYST_ENTRY,Entity Linked logged for P015 in relation to P001.,0.63,True
SYN-EVT-00112,CASE-002,2026-06-18T06:39:31,INTELLIGENCE_RECEIVED,P001,P013,,V007,ANALYST_ENTRY,Intelligence Received logged for P001 in relation to P013.,0.73,True
SYN-EVT-00113,CASE-001,2026-02-09T05:07:52,CALL_DETECTED,P004,,,,SYSTEM_AUTO_LOG,Call Detected logged for P004.,0.57,True
SYN-EVT-00114,CASE-003,2026-06-11T18:47:13,ANALYST_REVIEW,P011,P006,LOC006,V013,FIELD_UPDATE,Analyst Review logged for P011 in relation to P006.,0.85,True
SYN-EVT-00115,CASE-005,2026-02-08T18:56:52,CALL_DETECTED,P003,P001,LOC005,,ANALYST_ENTRY,Call Detected logged for P003 in relation to P001.,0.63,True
SYN-EVT-00116,CASE-004,2026-01-25T15:30:47,ALERT_GENERATED,P005,P012,,,FIELD_UPDATE,Alert Generated logged for P005 in relation to P012.,0.83,True
SYN-EVT-00117,CASE-004,2026-08-13T12:40:06,ALERT_GENERATED,P003,P009,LOC001,,FIELD_UPDATE,Alert Generated logged for P003 in relation to P009.,0.33,True
SYN-EVT-00118,CASE-002,2026-04-15T04:17:38,CALL_DETECTED,P002,,LOC010,,ANALYST_ENTRY,Call Detected logged for P002.,0.41,True
SYN-EVT-00119,CASE-003,2026-01-02T09:32:57,INTELLIGENCE_RECEIVED,P007,,LOC008,,SYSTEM_AUTO_LOG,Intelligence Received logged for P007.,0.36,True
SYN-EVT-00120,CASE-003,2026-02-05T17:06:42,ENTITY_LINKED,P014,P003,,V013,FIELD_UPDATE,Entity Linked logged for P014 in relation to P003.,0.44,True
SYN-EVT-00121,CASE-001,2026-05-04T14:53:37,LOCATION_OBSERVED,P001,,,,FIELD_UPDATE,Location Observed logged for P001.,0.81,True
SYN-EVT-00122,CASE-005,2026-03-21T06:59:51,INVESTIGATION_UPDATE,P008,,,,ANALYST_ENTRY,Investigation Update logged for P008.,0.77,True
SYN-EVT-00123,CASE-005,2026-07-15T07:15:30,LOCATION_OBSERVED,P006,P010,,,SYSTEM_AUTO_LOG,Location Observed logged for P006 in relation to P010.,0.63,True
SYN-EVT-00124,CASE-002,2026-06-23T03:49:35,ENTITY_LINKED,P007,,LOC005,,ANALYST_ENTRY,Entity Linked logged for P007.,0.64,True
SYN-EVT-00125,CASE-005,2026-04-24T19:38:19,TRANSACTION_DETECTED,P012,,,,ANALYST_ENTRY,Transaction Detected logged for P012.,0.84,True
SYN-EVT-00126,CASE-002,2026-04-29T23:48:23,FIR_REGISTERED,P014,P006,,,ANALYST_ENTRY,Fir Registered logged for P014 in relation to P006.,0.53,True
SYN-EVT-00127,CASE-002,2026-04-10T08:19:04,INTELLIGENCE_RECEIVED,P012,,,,FIELD_UPDATE,Intelligence Received logged for P012.,0.54,True
SYN-EVT-00128,CASE-003,2026-08-25T06:08:42,FIR_REGISTERED,P005,,LOC001,,FIELD_UPDATE,Fir Registered logged for P005.,0.88,True
SYN-EVT-00129,CASE-003,2026-03-14T05:50:13,VEHICLE_OBSERVED,P013,,LOC002,,ANALYST_ENTRY,Vehicle Observed logged for P013.,0.37,True
SYN-EVT-00130,CASE-001,2026-06-13T03:52:17,TRANSACTION_DETECTED,P005,,,,ANALYST_ENTRY,Transaction Detected logged for P005.,0.49,True
SYN-EVT-00131,CASE-002,2026-01-24T13:27:10,LOCATION_OBSERVED,P006,P012,,,FIELD_UPDATE,Location Observed logged for P006 in relation to P012.,0.85,True
SYN-EVT-00132,CASE-001,2026-07-17T18:25:26,INTELLIGENCE_RECEIVED,P001,,,V012,SYSTEM_AUTO_LOG,Intelligence Received logged for P001.,0.37,True
SYN-EVT-00133,CASE-005,2026-06-02T05:16:48,VEHICLE_OBSERVED,P008,,,,ANALYST_ENTRY,Vehicle Observed logged for P008.,0.42,True
SYN-EVT-00134,CASE-003,2026-03-15T04:12:30,FIR_REGISTERED,P012,P014,LOC001,,SYSTEM_AUTO_LOG,Fir Registered logged for P012 in relation to P014.,0.31,True
SYN-EVT-00135,CASE-002,2026-04-04T11:29:15,INVESTIGATION_UPDATE,P010,P002,,,SYSTEM_AUTO_LOG,Investigation Update logged for P010 in relation to P002.,0.61,True
SYN-EVT-00136,CASE-005,2026-02-17T12:18:25,INVESTIGATION_UPDATE,P015,P001,LOC010,V015,SYSTEM_AUTO_LOG,Investigation Update logged for P015 in relation to P001.,0.44,True
SYN-EVT-00137,CASE-001,2026-04-04T08:29:32,VEHICLE_OBSERVED,P007,,,V013,FIELD_UPDATE,Vehicle Observed logged for P007.,0.86,True
SYN-EVT-00138,CASE-004,2026-08-02T15:33:44,TRANSACTION_DETECTED,P006,,,,ANALYST_ENTRY,Transaction Detected logged for P006.,0.47,True
SYN-EVT-00139,CASE-001,2026-08-21T15:17:49,ALERT_GENERATED,P008,,,,FIELD_UPDATE,Alert Generated logged for P008.,0.41,True
SYN-EVT-00140,CASE-002,2026-06-21T01:04:24,INVESTIGATION_UPDATE,P014,P007,,V009,SYSTEM_AUTO_LOG,Investigation Update logged for P014 in relation to P007.,0.5,True
SYN-EVT-00141,CASE-001,2026-07-17T04:56:01,TRANSACTION_DETECTED,P012,P002,LOC001,,ANALYST_ENTRY,Transaction Detected logged for P012 in relation to P002.,0.49,True
SYN-EVT-00142,CASE-002,2026-05-25T09:32:51,INTELLIGENCE_RECEIVED,P009,P013,LOC009,,ANALYST_ENTRY,Intelligence Received logged for P009 in relation to P013.,0.86,True
SYN-EVT-00143,CASE-003,2026-08-06T04:41:39,TRANSACTION_DETECTED,P004,,,,FIELD_UPDATE,Transaction Detected logged for P004.,0.48,True
SYN-EVT-00144,CASE-003,2026-07-26T14:35:15,CALL_DETECTED,P010,,,,FIELD_UPDATE,Call Detected logged for P010.,0.51,True
SYN-EVT-00145,CASE-003,2026-05-21T03:24:12,INTELLIGENCE_RECEIVED,P011,,LOC001,,SYSTEM_AUTO_LOG,Intelligence Received logged for P011.,0.56,True
SYN-EVT-00146,CASE-004,2026-03-05T22:09:03,LOCATION_OBSERVED,P011,P009,LOC005,V015,ANALYST_ENTRY,Location Observed logged for P011 in relation to P009.,0.83,True
SYN-EVT-00147,CASE-004,2026-07-03T10:33:18,FIR_REGISTERED,P001,P007,,,SYSTEM_AUTO_LOG,Fir Registered logged for P001 in relation to P007.,0.65,True
SYN-EVT-00148,CASE-003,2026-08-27T02:02:04,CALL_DETECTED,P011,P003,,,SYSTEM_AUTO_LOG,Call Detected logged for P011 in relation to P003.,0.73,True
SYN-EVT-00149,CASE-002,2026-02-13T05:05:36,INTELLIGENCE_RECEIVED,P005,,,,SYSTEM_AUTO_LOG,Intelligence Received logged for P005.,0.48,True
SYN-EVT-00150,CASE-005,2026-05-05T04:19:20,VEHICLE_OBSERVED,P011,P010,,,FIELD_UPDATE,Vehicle Observed logged for P011 in relation to P010.,0.38,True
SYN-EVT-00151,CASE-001,2026-08-31T14:24:35,INTELLIGENCE_RECEIVED,P008,P003,,V020,SYSTEM_AUTO_LOG,Intelligence Received logged for P008 in relation to P003.,0.68,True
SYN-EVT-00152,CASE-001,2026-03-31T05:36:12,ANALYST_REVIEW,P012,P014,LOC009,V020,ANALYST_ENTRY,Analyst Review logged for P012 in relation to P014.,0.36,True
SYN-EVT-00153,CASE-002,2026-02-21T03:29:46,ALERT_GENERATED,P009,P003,LOC006,,ANALYST_ENTRY,Alert Generated logged for P009 in relation to P003.,0.54,True
SYN-EVT-00154,CASE-001,2026-04-27T18:46:26,CALL_DETECTED,P001,,LOC005,,FIELD_UPDATE,Call Detected logged for P001.,0.89,True
SYN-EVT-00155,CASE-003,2026-04-22T04:37:46,TRANSACTION_DETECTED,P008,,,V002,SYSTEM_AUTO_LOG,Transaction Detected logged for P008.,0.5,True
SYN-EVT-00156,CASE-002,2026-06-27T01:37:15,ANALYST_REVIEW,P008,,LOC009,,SYSTEM_AUTO_LOG,Analyst Review logged for P008.,0.91,True
